training_timestamp,num_training_samples,test_mse,test_r2_score
2025-05-21T02:38:59,800.0,8.455132217683585e-18,-0.006554274300549334
2025-05-21T02:39:19,1920.0,4.736168620580103e-12,-0.393870545235832
2025-05-21T02:39:39,3040.0,6.1465112022703144e-12,0.025392310961082742
2025-05-21T02:39:59,4160.0,4.55583417480621e-12,0.013043075022871387
2025-05-21T02:40:19,5280.0,2.4635272694874084e-12,0.9853176702777899
2025-05-21T02:40:39,6400.0,2.066399784236229e-12,0.9973894625153342
2025-05-21T02:40:59,7520.0,1.45615141886923e-11,0.8886495378628696
2025-05-21T02:41:19,8640.0,2.0489866114662974e-10,0.8045867225789269
2025-05-21T02:41:39,9760.0,8.16548794405576e-09,0.22162185288485148
2025-05-21T02:41:59,10880.0,5.445624742471878e-11,0.9252278611998801
2025-05-21T02:42:19,12000.0,6.294068006341089e-09,0.13871463169590004
2025-05-21T02:42:39,13120.0,7.966684211977408e-09,0.20415452189441585
2025-05-21T02:42:59,14240.0,9.365439103949247e-09,0.12027744488806924
2025-05-21T02:43:19,15360.0,8.665211285805349e-09,0.10214950247919408
2025-05-21T02:43:39,16480.0,1.376238237432437e-09,0.2691970936266027
2025-05-21T02:43:59,17600.0,2.8592044567917277e-09,0.15211566341055482
2025-05-21T02:44:20,18720.0,1.6431448299044645e-08,0.02662817818595853
2025-05-21T02:44:39,19840.0,2.2700419682261265e-08,0.020745800113077473
2025-05-21T02:44:59,20960.0,2.0865852056583702e-08,0.04805312344281476
2025-05-21T02:45:20,22080.0,2.7800016452263375e-08,0.0027373172967635195
2025-05-21T02:45:40,23200.0,2.8459514453962913e-08,0.03077893484221561
2025-05-21T02:45:59,24320.0,2.5073044940123274e-08,0.04304974496950298
2025-05-21T02:46:20,25440.0,1.047376972178918e-08,0.09892293928171048
2025-05-21T02:46:39,26560.0,1.3709898621978016e-08,0.0723245903072951
2025-05-21T02:47:00,27680.0,1.1822024037797994e-08,0.09014933944616321
2025-05-21T02:47:19,28800.0,1.8234858591391034e-08,0.05791093935423697
2025-05-21T02:47:39,29920.0,7.186502303199455e-09,0.12528361213842798
2025-05-21T02:47:59,31040.0,2.472427432312383e-08,0.02465403191911608
2025-05-21T02:48:19,32160.0,2.2246785238715803e-08,0.02856848080960306
2025-05-21T02:48:40,33280.0,1.720495574455492e-08,0.026217113718065232
2025-05-21T02:48:59,34400.0,1.699892472029091e-08,0.042438083382336234
2025-05-21T02:49:19,35520.0,1.1783300354552636e-08,0.05013521339728377
2025-05-21T02:49:40,36640.0,1.9159017755178417e-08,0.021467197570863905
2025-05-21T02:50:00,37760.0,1.72653502513252e-08,0.02114431965349506
2025-05-21T02:50:20,38880.0,2.1225127421359654e-08,0.02374116537216331
2025-05-21T02:50:40,40000.0,9.133340494918495e-09,0.032386118260831154
2025-05-21T02:51:00,41120.0,2.506868511438183e-08,0.019227449969271393
2025-05-21T02:51:20,42240.0,1.5973481840199454e-08,0.027610159281382995
2025-05-21T03:52:12,800.0,2.2967457384665137e-29,0.6640143871370698
2025-05-21T03:52:32,1920.0,2.8324004049518366e-29,0.6463131292811539
